x_c,y_c,z_c,theta_neck_pan_cmd_tminus1,theta_lower_tilt_cmd_tminus1,theta_upper_tilt_cmd_tminus1,theta_right_pan_cmd_tminus1,theta_tilt_cmd_tminus1
0.16731801084144937,-0.23936086682428953,1.0067259529553447,0.0,0.0,0.0,6,5
0.22463175490747034,-0.24019614772894796,1.0067956970340504,0.0,0.0,0.0,8,5
0.2814286779544599,-0.24113754424654424,1.006866335303226,0.0,0.0,0.0,10,5
0.33539809523277664,-0.24231464905721664,1.0069372440444775,0.0,0.0,0.0,12,5
0.4031259179205886,-0.2440553269689969,1.0070297608637315,0.0,0.0,0.0,14,5
-0.4400176058997539,-0.190632185236831,1.0054524609844255,0.0,0.0,0.0,-14,0
-0.35574407620380577,-0.19364651708010056,1.0055789497597623,0.0,0.0,0.0,-12,0
-0.28454045052673127,-0.1956407370057835,1.005678415293914,0.0,0.0,0.0,-10,0
-0.22763785575986806,-0.19743803873304144,1.0057606323148873,0.0,0.0,0.0,-8,0
-0.1668617432539472,-0.1987814667806689,1.0058407235901863,0.0,0.0,0.0,-6,0
-0.10841430689354292,-0.19988903727918939,1.0059152750209535,0.0,0.0,0.0,-4,0
-0.06022978341612217,-0.2013301718989044,1.005983812635431,0.0,0.0,0.0,-2,0
-0.00945308326231109,-0.20272720959134743,1.0060544073405016,0.0,0.0,0.0,0,0
0.054348855183375955,-0.20366805752266104,1.0061321943322417,0.0,0.0,0.0,2,0
0.11004847739862189,-0.20495143988191114,1.006206294916048,0.0,0.0,0.0,4,0
0.16814435876864153,-0.20697214142762427,1.0062927249500415,0.0,0.0,0.0,6,0
0.2254294342638663,-0.20806437662080407,1.0063658834312323,0.0,0.0,0.0,8,0
0.28190831079419354,-0.2093905063450554,1.0064413529717167,0.0,0.0,0.0,10,0
0.3373344897628945,-0.21034127320718363,1.0065107165183902,0.0,0.0,0.0,12,0
0.40310316185570816,-0.21182126989681688,1.0065977383015805,0.0,0.0,0.0,14,0
-0.43984577135646663,-0.19066392442769262,1.0054530618916275,0.0,0.0,0.0,-14,0
-0.35527886007481135,-0.1935821836839533,1.005578562814874,0.0,0.0,0.0,-12,0
-0.28333544066480876,-0.19553558290614764,1.0056782370188562,0.0,0.0,0.0,-10,0
-0.22748626884634116,-0.19754231171416275,1.005762184632273,0.0,0.0,0.0,-8,0
-0.16686047005626126,-0.1987341724367231,1.0058400910542689,0.0,0.0,0.0,-6,0
-0.10846473432874693,-0.1999595275623635,1.0059161682135351,0.0,0.0,0.0,-4,0
-0.06011036900361433,-0.20143322588033638,1.0059853157495569,0.0,0.0,0.0,-2,0
