x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_left_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_left_eye,state_theta_tilt
-0.06862890245638875,-0.09702348194132202,1.0316064017867614,-30,0,0,14,-15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,13.18359375,-14.326171875
-100.0,-100.0,-100.0,-30,0,0,-14,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-13.88671875,-19.072265625
-100.0,-100.0,-100.0,-30,0,0,-12,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-11.865234375,-19.072265625
-100.0,-100.0,-100.0,-30,0,0,-10,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-9.931640625,-19.16015625
-0.7661183046342165,-0.06329521247023287,1.0519323352396133,-30,0,0,-8,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-7.998046875,-19.072265625
-0.6929718242442815,-0.06455515315166044,1.0498311078491023,-30,0,0,-6,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-6.064453125,-19.16015625
-0.6132697729777976,-0.06498666131306177,1.0474707982752787,-30,0,0,-4,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-4.04296875,-19.16015625
-0.5404771802808397,-0.06395026014755216,1.0453548171300866,-30,0,0,-2,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-2.021484375,-19.16015625
-0.4812171156718247,-0.06272947976105886,1.043692460254124,-30,0,0,0,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-0.263671875,-19.16015625
-0.40907757815981105,-0.06240457080811217,1.0415302789647143,-30,0,0,2,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,1.7578125,-19.16015625
-0.3518327236496731,-0.06313048969022546,1.0399465185095393,-30,0,0,4,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,3.69140625,-19.16015625
-0.29189327256865916,-0.0639535491283248,1.0381413256926915,-30,0,0,6,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,5.625,-19.16015625
-0.23153163236806662,-0.06420537454375588,1.036407935153552,-30,0,0,8,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,7.646484375,-19.16015625
-0.17327555273938788,-0.06452190167520983,1.0347254097106757,-30,0,0,10,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,9.4921875,-19.16015625
-0.12627735408093976,-0.06547642567020945,1.0333488801513786,-30,0,0,12,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,11.25,-19.16015625
-0.0675998943378211,-0.06564114246317489,1.031623421624478,-30,0,0,14,-20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,13.18359375,-19.16015625
-100.0,-100.0,-100.0,-30,0,0,-14,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-13.88671875,-23.994140625
-100.0,-100.0,-100.0,-30,0,0,-12,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-11.953125,-24.08203125
-100.0,-100.0,-100.0,-30,0,0,-10,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-9.931640625,-24.08203125
-0.7729309947200382,-0.013242214458017931,1.0522723424034437,-30,0,0,-8,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-8.0859375,-23.994140625
-0.6958961661810014,-0.016347223672696278,1.0501476366510525,-30,0,0,-6,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-6.064453125,-23.994140625
-0.6151326573847418,-0.018308168688501936,1.0476247925086137,-30,0,0,-4,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-3.955078125,-24.08203125
-0.5414815052197167,-0.01893461002876936,1.0455859919351738,-30,0,0,-2,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-2.021484375,-24.08203125
-0.4844553198070523,-0.019222226220432178,1.0438567029764727,-30,0,0,0,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-0.263671875,-24.08203125
-0.41312453404668426,-0.020113732790508716,1.0418181672779039,-30,0,0,2,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,1.7578125,-24.08203125
